url_length,num_dots,has_https,has_ip_address,num_special_chars,path_length,num_subdomains,has_suspicious_words,domain_length,num_digits_in_domain,label
43,4,1,0,4,38,3,1,19,3,1
42,1,1,0,0,11,0,0,13,0,0
97,1,0,0,5,46,2,0,12,4,1
45,4,1,0,1,19,1,0,10,0,0
81,11,0,0,3,35,1,0,8,6,1
71,6,1,0,3,43,2,0,33,4,1
48,1,0,0,0,10,1,0,10,0,0
120,3,0,1,2,54,3,1,14,2,1
65,3,1,0,2,15,0,0,13,0,0
135,3,0,0,2,71,2,1,18,3,1
32,2,1,0,2,10,0,0,18,1,0
118,6,1,0,5,41,3,0,30,5,1
90,4,0,0,4,45,4,1,24,2,1
47,3,1,0,0,20,1,1,3,0,0
77,1,1,0,0,9,0,0,10,0,0
51,6,1,0,1,26,1,0,5,2,0
47,2,1,0,1,21,0,0,7,0,0
46,4,1,0,1,23,3,0,10,1,0
83,2,0,0,4,47,3,1,6,0,1
51,5,1,0,3,64,3,1,27,1,1
23,6,1,0,0,20,0,1,7,0,0
43,5,1,1,3,24,4,1,24,4,1
69,3,0,0,5,42,6,0,17,3,1
73,10,0,0,5,24,2,0,5,5,1
73,4,1,0,3,34,4,0,26,2,1
41,2,1,0,0,13,1,0,13,1,0
63,5,0,0,4,14,2,0,26,1,1
43,2,1,0,0,12,1,0,6,0,0
49,1,1,0,3,16,2,1,14,1,0
40,2,1,0,2,19,0,0,10,0,0
45,5,1,0,0,25,0,0,14,1,0
72,3,1,0,0,31,2,0,8,0,0
49,2,0,0,1,3,0,0,16,1,0
56,2,1,0,0,5,1,0,4,1,0
72,4,0,1,4,21,1,1,19,3,1
44,2,1,0,1,6,2,0,6,0,0
92,3,1,1,4,28,2,1,8,2,1
66,4,0,0,2,38,5,1,21,2,1
106,3,1,1,2,9,2,0,24,1,1
22,2,1,0,3,6,0,0,4,1,0
53,1,1,0,2,7,0,0,12,0,0
66,8,1,1,3,23,6,1,21,4,1
58,1,1,0,0,15,0,0,7,0,0
48,2,1,0,1,11,1,0,7,0,0
105,5,0,0,2,43,4,1,26,1,1
38,2,1,0,0,11,5,0,8,0,0
32,2,1,0,1,5,2,0,7,0,0
61,3,1,0,1,24,1,0,17,2,0
50,5,1,0,0,13,1,0,10,1,0
96,2,0,0,2,38,3,0,31,2,1
111,6,1,0,4,47,0,1,26,4,1
35,3,1,0,2,17,1,0,6,0,0
102,7,1,1,4,52,2,1,34,3,1
59,1,1,0,0,16,1,0,4,0,0
77,4,1,0,1,2,2,0,15,1,0
85,5,1,0,6,9,3,1,12,2,1
59,4,1,0,2,23,5,0,17,2,1
84,1,0,1,4,15,2,1,14,1,1
103,2,1,0,1,30,3,0,18,2,1
67,2,1,0,0,14,2,0,10,0,0
61,2,0,1,2,40,3,0,22,4,1
59,1,1,0,0,29,1,0,3,1,0
77,5,0,1,3,79,7,0,26,1,1
97,5,1,0,3,42,3,0,14,4,1
79,3,0,1,3,26,0,0,8,1,1
88,9,0,0,5,13,6,1,11,3,1
58,4,1,0,5,8,0,0,4,2,0
88,2,0,0,3,43,5,1,18,4,1
44,2,1,0,1,18,0,0,8,0,0
42,4,0,0,1,33,3,0,20,1,1
66,5,0,0,4,2,1,0,16,2,1
37,1,1,0,0,11,2,0,11,0,0
75,4,0,0,5,30,6,1,37,2,1
87,5,0,0,6,16,1,1,23,2,1
84,2,0,0,2,9,2,0,12,0,0
29,1,1,0,2,34,0,0,9,1,0
83,2,0,0,3,20,0,0,6,4,1
51,2,1,0,1,26,2,0,3,1,0
46,3,1,0,1,9,1,0,9,3,0
80,8,1,0,6,18,1,1,14,3,1
35,2,1,0,1,17,1,0,4,0,0
52,3,1,0,2,19,0,0,8,0,0
40,5,0,0,6,18,4,0,25,1,1
78,5,0,0,4,1,1,0,24,2,1
73,3,0,0,7,24,2,1,25,3,1
71,4,0,0,3,50,2,1,16,4,1
88,4,1,1,2,36,4,0,37,1,1
91,1,0,0,1,14,1,0,6,1,0
54,3,1,0,0,7,0,0,14,0,0
82,5,0,0,4,26,1,0,29,3,1
21,4,1,1,3,46,4,0,18,1,1
64,3,0,1,6,40,1,1,17,1,1
53,3,1,0,0,28,0,0,9,1,0
49,3,1,0,0,3,1,0,9,0,0
132,5,0,0,4,33,6,0,20,3,1
77,5,1,0,2,25,4,1,27,2,1
61,3,1,0,2,13,1,0,11,0,0
78,3,1,0,4,33,2,1,16,4,1
53,3,0,0,5,42,3,1,31,3,1
49,5,0,0,3,36,2,0,12,3,1
54,3,1,0,1,8,3,0,3,1,0
34,2,1,0,1,11,0,0,9,0,0
18,1,1,0,0,20,1,0,11,2,0
85,5,1,0,2,30,5,1,27,1,1
57,1,1,0,1,16,1,0,10,1,0
62,2,1,0,1,25,1,0,17,1,0
33,3,1,1,0,0,1,0,10,0,0
64,2,0,0,1,21,0,0,12,0,0
44,3,1,0,1,13,1,0,12,1,0
10,3,0,0,2,16,2,0,14,1,0
36,2,1,0,1,9,2,0,8,1,0
113,1,1,1,4,32,3,1,10,4,1
71,7,0,0,2,50,5,0,7,2,1
85,5,0,1,3,48,3,1,21,5,1
55,1,1,0,0,21,0,0,13,0,0
13,1,0,0,1,18,1,0,14,1,0
89,9,1,0,3,10,2,0,7,2,1
35,4,0,0,2,15,1,0,10,1,0
57,1,1,0,0,4,1,0,8,0,0
75,1,1,0,1,9,7,1,31,2,1
60,7,1,1,4,33,3,1,18,7,1
91,3,1,0,4,41,3,0,13,2,1
71,10,0,1,2,44,1,1,20,3,1
67,3,0,1,1,12,0,0,9,0,0
72,4,1,0,2,24,0,0,5,1,0
81,8,1,0,7,35,3,0,19,1,1
43,4,1,0,2,4,1,0,12,0,0
53,3,1,0,1,11,1,0,12,0,0
77,3,1,0,5,19,3,0,28,2,1
48,3,1,0,1,3,2,0,9,0,0
106,3,0,1,6,29,2,0,23,5,1
89,2,0,0,6,30,4,1,29,4,1
52,2,1,0,0,13,2,0,14,0,0
31,1,1,0,1,5,2,0,13,1,0
46,3,1,0,2,11,0,0,8,1,0
47,4,1,1,3,29,4,1,15,1,1
109,1,0,0,1,24,2,1,12,4,1
85,4,0,0,4,29,4,0,27,1,1
84,5,0,1,4,45,4,0,23,3,1
41,2,1,0,6,37,1,0,19,3,1
139,2,1,1,3,39,7,1,18,4,1
64,2,0,0,1,3,1,0,9,0,0
69,3,0,0,2,62,2,1,17,4,1
68,3,1,0,2,12,0,0,15,0,0
80,5,1,1,3,31,6,1,31,1,1
54,2,1,0,3,22,1,0,8,0,0
83,2,1,0,0,25,1,0,6,1,0
20,4,1,0,1,18,5,0,15,1,1
35,1,1,0,1,17,3,0,9,0,0
56,1,0,0,0,6,0,0,10,0,0
95,3,0,0,3,64,2,1,34,3,1
48,4,1,0,0,19,1,0,11,0,0
55,1,1,0,2,10,1,0,7,1,0
86,2,0,0,6,48,5,0,21,4,1
36,1,0,0,0,14,0,0,10,0,0
68,4,1,0,1,29,0,0,5,1,0
50,1,1,0,0,20,3,0,3,1,0
117,1,0,0,4,56,1,1,17,0,1
79,1,1,0,2,12,1,0,3,2,0
162,9,1,1,4,29,3,1,28,2,1
63,5,1,0,1,16,0,0,5,0,0
44,3,0,0,1,25,2,0,15,0,0
43,2,1,0,1,18,0,0,6,0,0
58,2,0,0,1,46,4,1,33,2,1
79,1,1,0,5,18,1,1,20,2,1
86,3,0,0,3,20,3,0,15,4,1
55,6,0,0,5,35,2,0,5,5,1
120,1,0,0,1,49,4,0,28,2,1
62,1,1,0,2,7,0,0,11,0,0
53,2,1,0,3,23,4,0,18,3,1
44,6,0,0,8,14,3,1,16,5,1
64,2,1,0,3,3,0,0,9,0,0
71,7,1,1,3,35,3,1,26,3,1
78,7,1,0,1,42,2,0,11,4,1
28,2,1,0,0,21,2,1,10,2,0
113,3,1,0,2,28,4,1,30,7,1
50,3,1,0,0,11,0,1,7,1,0
95,6,0,1,2,0,3,0,16,2,1
44,2,1,0,2,15,3,1,15,0,0
45,5,0,0,2,50,1,1,17,6,1
85,5,1,0,7,25,4,1,18,2,1
61,1,1,0,0,0,1,0,11,0,0
89,4,1,0,4,22,3,0,14,0,1
64,1,1,0,3,28,3,0,18,3,1
37,1,1,0,1,18,2,0,3,1,0
36,1,1,0,2,16,0,0,14,2,0
76,4,0,0,6,31,3,0,29,2,1
72,3,1,0,5,46,2,1,21,4,1
48,9,0,1,2,18,3,0,7,5,1
120,4,0,0,6,62,1,1,23,1,1
58,1,0,0,2,11,1,1,4,2,0
66,5,1,0,3,14,2,0,12,0,0
93,6,1,1,3,46,4,0,29,4,1
48,1,1,0,1,8,2,0,12,1,0
18,3,1,0,1,25,1,0,3,0,0
34,2,1,0,1,12,1,0,3,0,0
66,5,0,0,7,18,2,0,5,6,1
36,1,1,0,2,30,1,0,7,0,0
54,4,1,0,0,11,0,0,13,0,0
86,6,0,1,3,39,2,0,23,2,1
82,1,0,1,5,52,4,0,21,3,1
20,1,1,0,2,15,0,0,9,1,0
50,3,1,0,0,18,3,0,9,0,0
49,1,1,0,1,20,1,0,8,0,0
49,3,1,0,1,22,1,0,3,1,0
47,1,0,0,5,18,0,0,10,0,0
58,1,0,0,5,30,3,0,13,2,1
97,3,1,0,5,6,3,1,26,1,1
87,4,1,1,4,13,1,1,15,3,1
23,2,1,0,2,13,1,0,13,0,0
92,4,0,1,0,34,3,1,14,4,1
27,1,1,0,1,2,2,0,10,1,0
35,3,0,0,2,4,0,0,5,1,0
32,5,1,0,1,26,1,0,5,2,0
60,3,1,0,0,0,2,0,11,0,0
54,2,0,0,5,47,4,0,12,3,1
98,2,0,0,7,52,3,0,13,2,1
44,1,1,0,1,4,2,0,8,0,0
68,1,1,0,1,26,1,0,13,0,0
47,3,1,0,4,1,3,1,7,5,1
36,3,0,0,0,11,0,0,9,0,0
31,1,0,0,1,23,0,0,15,0,0
62,3,1,0,0,3,0,0,12,0,0
47,4,1,0,3,55,8,1,19,4,1
26,6,1,0,1,27,3,0,23,2,1
39,4,1,0,2,32,0,0,10,3,1
55,1,1,0,1,9,2,0,11,1,0
23,1,1,0,0,0,1,0,16,0,0
55,7,0,0,3,33,2,0,27,2,1
62,4,1,0,0,23,1,0,5,0,0
59,5,1,0,6,30,3,1,5,2,1
79,2,1,0,0,1,1,0,17,1,0
72,3,0,0,4,40,2,0,12,4,1
69,7,0,0,3,38,0,1,27,2,1
60,4,1,0,4,54,6,0,17,5,1
37,2,1,0,2,14,1,0,11,0,0
85,5,0,0,6,48,2,0,28,1,1
53,3,0,0,1,0,0,0,8,2,0
112,3,1,0,0,32,5,0,21,6,1
62,1,1,0,2,4,0,0,17,0,0
45,2,1,0,1,25,0,0,13,0,0
87,3,0,0,4,51,2,0,22,1,1
60,3,1,0,1,30,2,0,9,1,0
24,1,1,0,2,12,1,0,11,0,0
55,4,0,1,3,30,4,1,5,2,1
49,1,1,0,1,11,0,0,13,0,0
40,4,1,0,1,26,2,0,6,0,0
57,5,1,0,2,40,3,0,31,1,1
63,4,0,0,1,3,0,0,3,1,0
91,4,0,0,4,19,4,0,43,3,1
87,6,0,0,4,32,2,0,31,4,1
46,1,1,0,1,10,1,1,10,0,0
78,7,1,1,6,43,2,0,11,2,1
61,1,1,0,0,18,0,0,4,1,0
83,2,0,0,5,49,2,0,13,4,1
120,5,0,0,5,19,5,1,20,2,1
45,1,1,1,1,11,0,0,6,1,0
52,1,1,0,1,10,1,0,5,0,0
64,4,1,0,4,20,0,1,21,6,1
96,5,1,0,5,36,8,1,14,2,1
46,2,1,0,0,0,2,0,8,0,0
58,2,1,0,4,55,2,0,19,3,1
44,2,1,0,0,18,0,0,8,0,0
89,5,0,0,5,21,2,0,23,6,1
57,11,1,0,2,41,3,0,19,3,1
128,2,1,0,4,67,2,0,17,1,1
67,1,1,0,0,20,0,0,3,1,0
32,1,1,0,2,14,4,0,7,1,0
60,1,1,0,1,0,1,0,8,0,0
78,7,0,0,2,34,1,0,33,2,1
39,2,0,0,5,49,1,0,24,2,1
131,3,1,0,3,20,4,0,26,5,1
53,3,1,0,1,18,0,0,7,1,0
